# id|日本語名|構成|配色|本体|補助|予備動作|確定命中|本体最大長/半径|幅|高さ|使い道
heal_ring|救いの輪|HEAL|life|healing_petal|healing_wave|holy_seal|light_spark|2.4|1.0|1.0|地面から本人と周辺へ立ち上がる花弁の回復波
heal_pillar|断罪の柱|PILLAR|holy|light_column|holy_seal|cast_spark|light_spark|1.0|1.0|1.0|指定地点に立ち上がる聖光の柱。落下矢にしない
heal_step|光の歩み|TELEPORT|life|feather_gate|feather|cast_spark|light_spark|0.9|1.0|1.0|出発点の羽根と到着点の開く光門。足元から保護を示す
heal_lamp|灯火|PILLAR|holy|lantern|light_column|holy_seal|light_spark|0.7|1.0|1.0|指定地点の浮遊灯から短い光柱。流星とは区別
heal_shield|祈りの盾|SHIELD|life|prayer_wing|shield_arch|holy_seal|light_spark|1.2|1.0|1.0|左右の祈りの翼が胴を包む。攻撃刃は使わない
heal_mark|導きの印|RAY|holy|holy_ray|light_thread|cast_spark|guidance_seal|0.8|0.5|0.5|命中した敵に導きの印。空中の終点へは印を出さない
heal_wind|清めの風|HEAL|life|feather|healing_wave|holy_seal|light_spark|2.0|1.0|1.0|低い風の輪から羽根が上昇。回復を外向き爆発に見せない
heal_ult|救済|HEAL|life|prayer_wing|healing_wave|holy_seal|light_spark|3.2|1.0|1.0|大きな回復波と上向きの翼。画面中央を埋める板にしない
heal_judgment|最後の審判|PILLAR|holy|judgment_sword|holy_seal|holy_seal|light_spark|1.8|1.0|1.0|四判定ごとに天からの裁きの剣。地面の印と同期
star_thread|星糸|RAY|astral|star_thread|light_thread|star_seed|star_spark|0.7|0.4|0.4|二本の細い星糸と小さな星節。巨大な光槍を使わない
star_ring|星環|NOVA|astral|star_orbit|star_shard|star_seed|star_spark|3.1|1.0|1.0|六方向へ立ち上がる星雲の波。実範囲まで一度広がり裂けて消える
starfall|星降る夜|RAIN|astral|star_core|astral_crack|star_seed|star_spark|0.9|1.0|1.0|指定地点上空の星が落ちて星片へ。各判定で着弾点を小さくずらす
star_step|星渡り|TELEPORT|astral|star_gate|star_shard|star_seed|star_spark|1.0|1.0|1.0|四本の星雲が出発点へ閉じ、到着点で外へほどける。平面の門と攻撃環は出さない
star_needle|星の針|RAY|astral|star_needle|light_thread|star_seed|star_mark|1.0|0.5|0.5|細長い星針。印は確定命中した敵のみに付ける
star_cloud|星雲|FIELD|astral|nebula_wisp|constellation|star_seed|star_spark|2.8|1.0|1.0|指定地点の低い雲筋と星座。毎回核が落ちる演出は禁止
star_shield|星衣|SHIELD|astral|star_mantle|constellation|star_seed|star_spark|1.1|1.0|1.0|肩の外側に開く星座と垂れる光の帯。正面を空けて星雨と区別
star_break|星砕き|RAY|astral|star_shard|light_thread|star_seed|star_fracture|1.2|0.7|0.7|圧縮した星片を撃ち込み確定命中点で分裂。空振りに崩壊を出さない
star_ult|天球崩壊|RAIN|astral|celestial_core|astral_crack|constellation|star_fracture|1.5|1.0|1.0|大きな天球の落下と放射星片。五回以上の実判定に同期
star_constellation|星座の守り|SHIELD|astral|constellation_crown|star_mantle|constellation|star_spark|1.5|1.0|1.0|頭の外周に編む六辺の星座と四本の光の衣。星と接続線は離さず攻撃の破裂を出さない
